Softwarename	Publisher	LatUpdate	PCname
Microsoft SQL Server 2008 R2 Management Objects	Microsoft Corporation	21/11/2018	LEARN212
Microsoft SQL Server 2012 Command Line Utilities 	Microsoft Corporation	23/11/2018	LEARN-APP204
Microsoft SQL Server 2012 Management Objects 	Microsoft Corporation	26/11/2018	SRVDB52
Microsoft SQL Server 2012 Native Client 	Microsoft Corporation	23/11/2018	LEARN-APP204
Microsoft SQL Server 2012 Policies 	Microsoft Corporation	26/11/2018	SRVDB52
Microsoft SQL Server 2014 Management Objects 	Microsoft Corporation	20/11/2018	THUYLINH443
Microsoft SQL Server 2014 Policies 	Microsoft Corporation	21/11/2018	LEARN212
Microsoft SQL Server 2016 LocalDB 	Microsoft Corporation	23/11/2018	LEARN-APP204
Microsoft SQL Server 2017		20/11/2018	THUYLINH443
Microsoft SQL Server 2017 (64-bit)		23/11/2018	LEARN-APP204
Microsoft SQL Server 2017 Policies 	Microsoft Corporation	20/11/2018	THUYLINH443
Microsoft SQL Server 2017 RsFx Driver	Microsoft Corporation	23/11/2018	LEARN-APP204
Microsoft SQL Server 2017 Setup (English)	Microsoft Corporation	23/11/2018	LEARN-APP204
Microsoft SQL Server 2017 T-SQL Language Service 	Microsoft Corporation	23/11/2018	LEARN-APP204
Microsoft SQL Server Compact 3.5 SP1 English	Microsoft Corporation	21/11/2018	LEARN212
Microsoft SQL Server Compact 3.5 SP1 Query Tools English	Microsoft Corporation	21/11/2018	LEARN212
Microsoft SQL Server Data Tools - Database Projects - Web installer entry point	Microsoft Corporation	26/11/2018	SRVDB52
Microsoft SQL Server Data Tools - enu (11.1.20627.00)	Microsoft Corporation	21/11/2018	LEARN263
Microsoft SQL Server Data Tools Build Utilities - enu (11.1.20627.00)	Microsoft Corporation	21/11/2018	LEARN263
Microsoft SQL Server Data-Tier Application Framework (x86)	Microsoft Corporation	20/11/2018	THUYLINH443
Microsoft SQL Server Management Studio - 17.9	Microsoft Corporation	20/11/2018	THUYLINH443
Microsoft SQL Server System CLR Types	Microsoft Corporation	21/11/2018	LEARN212
Microsoft System CLR Types for SQL Server 2012	Microsoft Corporation	26/11/2018	SRVDB52
Microsoft System CLR Types for SQL Server 2014	Microsoft Corporation	20/11/2018	THUYLINH443
Microsoft System CLR Types for SQL Server 2017	Microsoft Corporation	23/11/2018	LEARN-APP204
Microsoft System CLR Types for SQL Server vNext CTP1.6	Microsoft Corporation	20/11/2018	THUYLINH443
Microsoft Visual C++ 2005 Redistributable	Microsoft Corporation	21/11/2018	LEARN200
Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.17	Microsoft Corporation	21/11/2018	LEARN200
Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.4974	Microsoft Corporation	21/11/2018	LEARN200
Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.6161	Microsoft Corporation	21/11/2018	LEARN200
Microsoft Visual C++ 2010  x86 Redistributable - 10.0.40219	Microsoft Corporation	21/11/2018	LEARN200
Microsoft Visual C++ 2010  x86 Runtime - 10.0.40219	Microsoft Corporation	21/11/2018	LEARN200
Microsoft Visual C++ 2012 Redistributable (x86) - 11.0.50727	Microsoft Corporation	20/11/2018	THUYLINH443
Microsoft Visual C++ 2012 x86 Additional Runtime - 11.0.50727	Microsoft Corporation	21/11/2018	THUYLINH443
Microsoft Visual C++ 2012 x86 Minimum Runtime - 11.0.50727	Microsoft Corporation	20/11/2018	THUYLINH443
Microsoft Visual C++ 2013 Redistributable (x64) - 12.0.21005	Microsoft Corporation	20/11/2018	THUYLINH443
Microsoft Visual C++ 2013 Redistributable (x86) - 12.0.21005	Microsoft Corporation	20/11/2018	THUYLINH443
Microsoft Visual C++ 2013 Redistributable (x86) - 12.0.40660	Microsoft Corporation	21/11/2018	THUYLINH210
Microsoft Visual C++ 2013 x64 Additional Runtime - 12.0.21005	Microsoft Corporation	23/11/2018	LEARN-APP204
Microsoft Visual C++ 2013 x64 Debug Runtime - 12.0.21005	Microsoft Corporation	23/11/2018	LEARN-APP204
Microsoft Visual C++ 2013 x64 Minimum Runtime - 12.0.21005	Microsoft Corporation	23/11/2018	LEARN-APP204
Microsoft Visual C++ 2013 x86 Additional Runtime - 12.0.21005	Microsoft Corporation	21/11/2018	THUYLINH443
Microsoft Visual C++ 2013 x86 Additional Runtime - 12.0.40660	Microsoft Corporation	21/11/2018	THUYLINH210
Microsoft Visual C++ 2013 x86 Debug Runtime - 12.0.21005	Microsoft Corporation	21/11/2018	THUYLINH443
Microsoft Visual C++ 2013 x86 Minimum Runtime - 12.0.21005	Microsoft Corporation	20/11/2018	THUYLINH443
Microsoft Visual C++ 2013 x86 Minimum Runtime - 12.0.40660	Microsoft Corporation	21/11/2018	THUYLINH210
Microsoft Visual C++ 2015 Redistributable (x64) - 14.0.23026	Microsoft Corporation	21/11/2018	LEARN200
Microsoft Visual C++ 2015 Redistributable (x64) - 14.0.24123	Microsoft Corporation	21/11/2018	THUYLINH210
Microsoft Visual C++ 2015 Redistributable (x86) - 14.0.23026	Microsoft Corporation	21/11/2018	LEARN200
Microsoft Visual C++ 2015 Redistributable (x86) - 14.0.24215	Microsoft Corporation	21/11/2018	THUYLINH210
Microsoft Visual C++ 2015 x86 Additional Runtime - 14.0.23026	Microsoft Corporation	21/11/2018	LEARN200
Microsoft Visual C++ 2015 x86 Additional Runtime - 14.0.24215	Microsoft Corporation	21/11/2018	THUYLINH210
Microsoft Visual C++ 2015 x86 Debug Runtime - 14.0.23026	Microsoft Corporation	20/11/2018	THUYLINH443
Microsoft Visual C++ 2015 x86 Minimum Runtime - 14.0.23026	Microsoft Corporation	21/11/2018	LEARN200
Microsoft Visual C++ 2015 x86 Minimum Runtime - 14.0.24215	Microsoft Corporation	21/11/2018	THUYLINH210
Microsoft Visual C++ 2017 Redistributable (x64) - 14.16.27012	Microsoft Corporation	20/11/2018	THUYLINH443
Microsoft Visual C++ 2017 Redistributable (x86) - 14.16.27012	Microsoft Corporation	20/11/2018	THUYLINH443
Microsoft Visual C++ 2017 x64 Additional Runtime - 14.15.26706	Microsoft Corporation	22/11/2018	LEARN-APP204
Microsoft Visual C++ 2017 x64 Debug Runtime - 14.15.26706	Microsoft Corporation	23/11/2018	LEARN-APP204
Microsoft Visual C++ 2017 x64 Minimum Runtime - 14.15.26706	Microsoft Corporation	23/11/2018	LEARN-APP204
Microsoft Visual C++ 2017 X86 Additional Runtime - 14.16.27012	Microsoft Corporation	21/11/2018	THUYLINH443
Microsoft Visual C++ 2017 X86 Minimum Runtime - 14.16.27012	Microsoft Corporation	20/11/2018	THUYLINH443
Microsoft Visual Studio 2008 Shell (integrated mode) - ENU	Microsoft Corporation	21/11/2018	LEARN212
Microsoft Visual Studio 2010 Shell (Integrated) - ENU	Microsoft Corporation	20/11/2018	SRVDB52
Microsoft Visual Studio 2010 Shell (Isolated) - ENU	Microsoft Corporation	21/11/2018	LEARN200
Microsoft Visual Studio 2015 Shell (Isolated)	Microsoft Corporation	21/11/2018	THUYLINH443
Microsoft Visual Studio 2015 Shell (Isolated) Resources	Microsoft Corporation	20/11/2018	THUYLINH443
Microsoft Visual Studio 2015 Shell (Minimum)	Microsoft Corporation	20/11/2018	THUYLINH443
Microsoft Visual Studio 2015 Shell (Minimum) Interop Assemblies	Microsoft Corporation	20/11/2018	THUYLINH443
Microsoft Visual Studio 2015 Shell (Minimum) Resources	Microsoft Corporation	20/11/2018	THUYLINH443
Microsoft Visual Studio 2015 XAML Designer	Microsoft Corporation	20/11/2018	THUYLINH443
Microsoft Visual Studio 2015 XAML Designer - ENU	Microsoft Corporation	21/11/2018	THUYLINH443
Microsoft Visual Studio Installer	Microsoft Corporation	23/11/2018	LEARN-APP204
Microsoft Visual Studio Services Hub	Microsoft Corporation	20/11/2018	THUYLINH443
Microsoft Visual Studio Setup Configuration	Microsoft Corporation	20/11/2018	THUYLINH443
Microsoft Visual Studio Team Foundation Server 2017 RC Office Integration (x64)	Microsoft Corporation	23/11/2018	LEARN-APP204
Microsoft Visual Studio Team Foundation Server 2017 RC Office Integration Language Pack (x64) - ENU	Microsoft Corporation	23/11/2018	LEARN-APP204
Microsoft Visual Studio Tools for Applications 2.0 - ENU	Microsoft Corporation	21/11/2018	LEARN212
